id,tag,perturbation,gt,pred,char_accuracy,plate_accuracy,trace_hash,total_ms,search_ms,segment_count,expected_count,overlap_pen,density,density_pen,blocking,selected_boxes
test_004042_blur_LNL512,cut__max_column_sum_quantile__minus,blur,LNL512,LL512,0.8333333333333334,0.0,2e62339d19802fc7f2915f62b8bc49bbbb2b349dafa5e394ee65a0fa4a1bbf72,646.6985791921616,0.4575755447149277,6,6,0.0,0.136875,0.0,0,"[[18,16,20,31],[53,15,26,31],[95,17,20,31],[140,16,20,31],[178,16,18,31],[213,15,21,32]]"
test_004042_blur_LNL512,cut__max_column_sum_quantile__plus,blur,LNL512,LL512,0.8333333333333334,0.0,fab56a99e1f1a7b8d943b8ce9b19882604ec822927b0fea1c9e7d2e8592177de,645.9785858169198,0.4447605460882187,6,6,0.0,0.136875,0.0,0,"[[18,16,20,31],[53,15,26,31],[95,17,20,31],[140,16,20,31],[178,16,18,31],[213,15,21,32]]"
test_004042_blur_LNL512,cut__min_rel_width_for_split__minus,blur,LNL512,LL512,0.8333333333333334,0.0,7d10cceba841870e872eeea4b8609cbadc12ac497539e27774ef038235bd0ed0,581.5616277977824,0.4577049985527992,6,6,0.0,0.136875,0.0,0,"[[18,16,20,31],[53,15,26,31],[95,17,20,31],[140,16,20,31],[178,16,18,31],[213,15,21,32]]"
test_004042_blur_LNL512,cut__min_rel_width_for_split__plus,blur,LNL512,LL512,0.8333333333333334,0.0,2d3f08a7b93bf2a1c60837cba0e15769030d4cfa29cd94cd7ffee571402ec307,659.9102960899472,0.44969096779823303,6,6,0.0,0.136875,0.0,0,"[[18,16,20,31],[53,15,26,31],[95,17,20,31],[140,16,20,31],[178,16,18,31],[213,15,21,32]]"
test_004042_blur_LNL512,reference,blur,LNL512,LL512,0.8333333333333334,0.0,d503da8ab9e304a495b598d98b88bae4488ebab9c34af3b530d9d178a648b155,637.5239249318838,0.5731135606765747,6,6,0.0,0.136875,0.0,0,"[[18,16,20,31],[53,15,26,31],[95,17,20,31],[140,16,20,31],[178,16,18,31],[213,15,21,32]]"
test_004042_blur_LNL512,reference_repeat,blur,LNL512,LL512,0.8333333333333334,0.0,da7a407e09f1394619ba93f1b3dfeea706a5117af02c25f096008305399dd391,643.295575864613,0.44519174844026566,6,6,0.0,0.136875,0.0,0,"[[18,16,20,31],[53,15,26,31],[95,17,20,31],[140,16,20,31],[178,16,18,31],[213,15,21,32]]"
test_004042_blur_LNL512,scoring__blocking_gap_ratio__minus,blur,LNL512,LL512,0.8333333333333334,0.0,dd7409a7f764faabae268d6ac7cf2d3e152ba8860bb9eadd832d8accdf5c02fc,621.8116730451584,0.43836887925863266,6,6,0.0,0.136875,0.0,0,"[[18,16,20,31],[53,15,26,31],[95,17,20,31],[140,16,20,31],[178,16,18,31],[213,15,21,32]]"
test_004042_blur_LNL512,scoring__blocking_gap_ratio__plus,blur,LNL512,LL512,0.8333333333333334,0.0,387da971279f4ee772ce2b0e28935bf77a6873d0ffbf977fb0870905c77964af,727.4094317108393,0.47690048813819885,6,6,0.0,0.136875,0.0,0,"[[18,16,20,31],[53,15,26,31],[95,17,20,31],[140,16,20,31],[178,16,18,31],[213,15,21,32]]"
test_004042_blur_LNL512,scoring__rho_max__minus,blur,LNL512,LL512,0.8333333333333334,0.0,4c915bfdacbfb5a9ef0f9372ae2d656471eeb0e4007fa048c4158eebe682119b,678.4830512478948,0.4511317238211632,6,6,0.0,0.136875,0.0,0,"[[18,16,20,31],[53,15,26,31],[95,17,20,31],[140,16,20,31],[178,16,18,31],[213,15,21,32]]"
test_004042_blur_LNL512,scoring__rho_max__plus,blur,LNL512,LL512,0.8333333333333334,0.0,8fd696ab21ec8844e248abdab7c27492b7f642b9b5ea8dda1293c2a8da962eaf,640.1638835668564,0.4785535857081413,6,6,0.0,0.136875,0.0,0,"[[18,16,20,31],[53,15,26,31],[95,17,20,31],[140,16,20,31],[178,16,18,31],[213,15,21,32]]"
test_004042_blur_LNL512,scoring__w_overlap__minus,blur,LNL512,LL512,0.8333333333333334,0.0,a730ded34aeaee8bfa3321d86687b93225a8ed52be93fc414fca1fd7dfd8f989,613.7785250321031,0.4501510411500931,6,6,0.0,0.136875,0.0,0,"[[18,16,20,31],[53,15,26,31],[95,17,20,31],[140,16,20,31],[178,16,18,31],[213,15,21,32]]"
test_004042_blur_LNL512,scoring__w_overlap__plus,blur,LNL512,LL512,0.8333333333333334,0.0,f80b28e361bbb18092520489fc0a118987b1c62ac8ff868eb82e5ee5e53a6357,619.9720073491335,0.438908115029335,6,6,0.0,0.136875,0.0,0,"[[18,16,20,31],[53,15,26,31],[95,17,20,31],[140,16,20,31],[178,16,18,31],[213,15,21,32]]"
test_004042_blur_LNL512,scoring__w_prior__minus,blur,LNL512,LL512,0.8333333333333334,0.0,e9c0f5c3b25bcc43fedda111f20eae8f32c193b7026c6342afc7f5165aa9f8c9,633.4097282961011,0.4485277459025383,6,6,0.0,0.136875,0.0,0,"[[18,16,20,31],[53,15,26,31],[95,17,20,31],[140,16,20,31],[178,16,18,31],[213,15,21,32]]"
test_004042_blur_LNL512,scoring__w_prior__plus,blur,LNL512,LL512,0.8333333333333334,0.0,cb37790c1c22ec068aee561387d16ea2ec5e2b6bd30e449ee5c69e332c60391f,627.9154475778341,0.4426566883921623,6,6,0.0,0.136875,0.0,0,"[[18,16,20,31],[53,15,26,31],[95,17,20,31],[140,16,20,31],[178,16,18,31],[213,15,21,32]]"
test_004288_broken_ADC981,cut__max_column_sum_quantile__minus,broken,ADC981,ADC91,0.8333333333333334,0.0,22236a0058bb3b86b3654de4a76cdd89c2ca81c9d77777ef6b8556a091355d8c,769.6519736200571,0.45671314001083374,6,6,0.0,0.104375,0.0,0,"[[25,20,21,28],[59,21,24,28],[96,20,22,29],[140,20,20,29],[174,19,19,29],[208,20,18,28]]"
test_004288_broken_ADC981,cut__max_column_sum_quantile__plus,broken,ADC981,ADC91,0.8333333333333334,0.0,44b652eac69b8c7ed4cbacfdcc9177188a37fd51391db3a539912857f84e1f3c,630.55151514709,0.4694676026701927,6,6,0.0,0.104375,0.0,0,"[[25,20,21,28],[59,21,24,28],[96,20,22,29],[140,20,20,29],[174,19,19,29],[208,20,18,28]]"
test_004288_broken_ADC981,cut__min_rel_width_for_split__minus,broken,ADC981,ADC91,0.8333333333333334,0.0,ee9dab7a3ec91e1aae30144b89b54af71daa47938ceddb614f0a09d0a2d28c3e,651.0433070361614,0.45282673090696335,6,6,0.0,0.104375,0.0,0,"[[25,20,21,28],[59,21,24,28],[96,20,22,29],[140,20,20,29],[174,19,19,29],[208,20,18,28]]"
test_004288_broken_ADC981,cut__min_rel_width_for_split__plus,broken,ADC981,ADC91,0.8333333333333334,0.0,7e6581872df89f2b562f93f666d61e663f7147e3df3c6386d1ecd37a4f8d14ca,598.4107041731477,0.4559420049190521,6,6,0.0,0.104375,0.0,0,"[[25,20,21,28],[59,21,24,28],[96,20,22,29],[140,20,20,29],[174,19,19,29],[208,20,18,28]]"
test_004288_broken_ADC981,reference,broken,ADC981,ADC91,0.8333333333333334,0.0,9a87e1fc3a5b1f51202a92dfe503a142b7f42e2fa2853e28e53dca1551d467de,681.8085163831711,0.3481293097138405,6,6,0.0,0.104375,0.0,0,"[[25,20,21,28],[59,21,24,28],[96,20,22,29],[140,20,20,29],[174,19,19,29],[208,20,18,28]]"
test_004288_broken_ADC981,reference_repeat,broken,ADC981,ADC91,0.8333333333333334,0.0,f1c6b31ae676c54a05892b50bdd5651ea0651dcaa109a43cd66910d6c67c2e3d,655.0088468939066,0.47445762902498245,6,6,0.0,0.104375,0.0,0,"[[25,20,21,28],[59,21,24,28],[96,20,22,29],[140,20,20,29],[174,19,19,29],[208,20,18,28]]"
test_004288_broken_ADC981,scoring__blocking_gap_ratio__minus,broken,ADC981,ADC91,0.8333333333333334,0.0,c1fb71f1717a094206b44556280a7c181dc8ac1ccccfc840c61584dd9559050a,700.8355557918549,0.44639408588409424,6,6,0.0,0.104375,0.0,0,"[[25,20,21,28],[59,21,24,28],[96,20,22,29],[140,20,20,29],[174,19,19,29],[208,20,18,28]]"
