image_path	suggested_text	confidence	status
ocr_dataset/unlabeled/plate_20260826_115943_463898_conf0.653.jpg	SYL-040	manual	approved
ocr_dataset/unlabeled/plate_20260826_115959_765003_conf0.662.jpg	LEZ-356	0.0000	approved
ocr_dataset/unlabeled/plate_20260826_121103_818580_conf0.701.jpg	SJF-677	manual	approved
ocr_dataset/unlabeled/plate_20260826_121115_435351_conf0.780.jpg	SYV-256	manual	approved
ocr_dataset/unlabeled/plate_20260826_121133_712204_conf0.741.jpg	SVE-756	0.2114	approved
ocr_dataset/unlabeled/plate_20260826_121148_507076_conf0.726.jpg	AILB-612	0.1760	approved
ocr_dataset/unlabeled/plate_20260826_121158_677075_conf0.403.jpg	LPM-304	0.1142	approved
ocr_dataset/unlabeled/plate_20260826_121224_893241_conf0.457.jpg	GNV-998	0.0000	approved
ocr_dataset/unlabeled/plate_20260826_121234_928091_conf0.783.jpg	JLR-808	manual	approved
ocr_dataset/unlabeled/plate_20260826_121244_931416_conf0.673.jpg	GNV-998	0.2933	approved
ocr_dataset/unlabeled/plate_20260826_121257_975827_conf0.757.jpg	RNK-167	manual	approved
ocr_dataset/unlabeled/plate_20260826_121308_176633_conf0.730.jpg	AEEC-160	0.0000	rejected
ocr_dataset/unlabeled/plate_20260826_121322_584577_conf0.767.jpg	AOFI-228	0.1494	approved
ocr_dataset/unlabeled/plate_20260826_121333_892539_conf0.687.jpg	NDP-763	0.2183	approved
ocr_dataset/unlabeled/plate_20260826_121343_910754_conf0.786.jpg	GUS-464	manual	approved
ocr_dataset/unlabeled/plate_20260826_121410_137395_conf0.778.jpg	AORJ-790	0.0229	approved
ocr_dataset/unlabeled/plate_20260826_121420_295927_conf0.730.jpg	NDP-763	0.1356	approved
ocr_dataset/unlabeled/plate_20260826_121433_665529_conf0.757.jpg	JXK-981	0.0858	approved
ocr_dataset/unlabeled/plate_20260826_121519_508664_conf0.730.jpg	HXW-974	0.0138	approved
ocr_dataset/unlabeled/plate_20260826_121529_531898_conf0.775.jpg	GXM-974	manual	approved
ocr_dataset/unlabeled/plate_20260826_121541_253080_conf0.728.jpg	GXM-974	manual	approved
ocr_dataset/unlabeled/plate_20260826_121551_710464_conf0.572.jpg	GXM-974	manual	approved
ocr_dataset/unlabeled/plate_20260826_121602_170129_conf0.743.jpg	PHH-600	manual	approved
ocr_dataset/unlabeled/plate_20260826_121651_858792_conf0.792.jpg	ROT-768	manual	approved
ocr_dataset/unlabeled/plate_20260826_121701_871814_conf0.770.jpg	ROT-768	manual	approved
ocr_dataset/unlabeled/plate_20260826_121711_890318_conf0.768.jpg	ROT-768	manual	approved
ocr_dataset/unlabeled/plate_20260826_121742_561960_conf0.626.jpg	SFR-896	0.0957	approved
ocr_dataset/unlabeled/plate_20260826_121805_696598_conf0.796.jpg	SHB-990	manual	approved
ocr_dataset/unlabeled/plate_20260826_121926_790848_conf0.693.jpg	PUW-379	0.0872	approved
ocr_dataset/unlabeled/plate_20260826_122012_558188_conf0.683.jpg	PAK-330	manual	approved
ocr_dataset/unlabeled/plate_20260826_122022_572041_conf0.673.jpg	PAK-330	manual	approved
ocr_dataset/unlabeled/plate_20260826_122032_598497_conf0.683.jpg	PAK-330	manual	approved
ocr_dataset/unlabeled/plate_20260826_122044_333277_conf0.682.jpg	PAK-330	manual	approved
ocr_dataset/unlabeled/plate_20260826_122054_350134_conf0.690.jpg	AIFM-038	0.0000	review
ocr_dataset/unlabeled/plate_20260826_122133_597465_conf0.696.jpg	JAF-632	0.0000	review
ocr_dataset/unlabeled/plate_20260826_122143_622557_conf0.733.jpg	JAF-632	0.0000	review
ocr_dataset/unlabeled/plate_20260826_122155_370521_conf0.754.jpg	ZF-853	0.2304	review
ocr_dataset/unlabeled/plate_20260826_122205_376570_conf0.817.jpg	RZF-863	manual	approved
ocr_dataset/unlabeled/plate_20260826_122215_478973_conf0.714.jpg	JAF-632	0.0000	review
ocr_dataset/unlabeled/plate_20260826_122227_458607_conf0.690.jpg	MLR-114	0.0000	review
ocr_dataset/unlabeled/plate_20260826_122243_411691_conf0.571.jpg	RZG-287	manual	approved
ocr_dataset/unlabeled/plate_20260826_122310_365666_conf0.496.jpg	NVP-277	0.1369	review
ocr_dataset/unlabeled/plate_20260826_122327_985636_conf0.757.jpg	JRJ-296	0.1481	review
ocr_dataset/unlabeled/plate_20260826_122355_993109_conf0.772.jpg	SHK-255	manual	approved
ocr_dataset/unlabeled/plate_20260826_122408_520551_conf0.284.jpg	LOV-741	0.0000	review
ocr_dataset/unlabeled/plate_20260826_122418_658914_conf0.718.jpg	PYM-233	0.0562	review
ocr_dataset/unlabeled/plate_20260826_122433_956073_conf0.634.jpg	IBM-685	0.0000	review
ocr_dataset/unlabeled/plate_20260826_122502_645444_conf0.725.jpg	AIJZ-117	0.1285	review
ocr_dataset/unlabeled/plate_20260826_122517_232090_conf0.732.jpg	AIJZ-117	0.0913	review
ocr_dataset/unlabeled/plate_20260826_122527_246610_conf0.730.jpg	AIJZ-117	0.9755	review
ocr_dataset/unlabeled/plate_20260826_122537_994429_conf0.708.jpg	PJF-805	manual	approved
ocr_dataset/unlabeled/plate_20260826_122550_246818_conf0.783.jpg	ANK-270	manual	approved
ocr_dataset/unlabeled/plate_20260826_122600_268614_conf0.704.jpg	AAEL-828	0.0000	review
ocr_dataset/unlabeled/plate_20260826_122629_397972_conf0.768.jpg	KZG-790	manual	approved
ocr_dataset/unlabeled/plate_20260826_122642_965069_conf0.490.jpg	MMV-860	0.0000	review
ocr_dataset/unlabeled/plate_20260826_122710_099617_conf0.696.jpg	UNG-532	manual	approved
ocr_dataset/unlabeled/plate_20260826_122737_800646_conf0.731.jpg	RNY-630	0.2507	review
ocr_dataset/unlabeled/plate_20260826_122859_884820_conf0.653.jpg	LBZ-270	manual	approved
ocr_dataset/unlabeled/plate_20260826_122925_871591_conf0.781.jpg	AILL-159	0.8052	review
ocr_dataset/unlabeled/plate_20260826_123029_164709_conf0.756.jpg	SAV-394	manual	approved
ocr_dataset/unlabeled/plate_20260826_123131_995075_conf0.337.jpg	AAFU-211	0.4194	approved
ocr_dataset/unlabeled/plate_20260826_123142_024652_conf0.793.jpg	RHU-682	manual	approved
ocr_dataset/unlabeled/plate_20260826_123206_341138_conf0.673.jpg	AOKG-554	0.2291	rejected
ocr_dataset/unlabeled/plate_20260826_123233_390651_conf0.547.jpg	MAA-118	0.0000	approved
ocr_dataset/unlabeled/plate_20260826_123308_003748_conf0.531.jpg	TD	0.3561	rejected
ocr_dataset/unlabeled/plate_20260826_123319_823852_conf0.289.jpg	MHR-92	0.2562	review
ocr_dataset/unlabeled/plate_20260826_123353_927123_conf0.666.jpg	HHU-382	0.0075	review
ocr_dataset/unlabeled/plate_20260826_123409_163663_conf0.323.jpg	JBA-628	0.0000	review
ocr_dataset/unlabeled/plate_20260826_123420_978437_conf0.774.jpg	NRW-842	manual	approved
ocr_dataset/unlabeled/plate_20260826_123430_993388_conf0.776.jpg	NRW-842	manual	approved
ocr_dataset/unlabeled/plate_20260826_123440_996388_conf0.687.jpg	RZW-056	0.5083	approved
ocr_dataset/unlabeled/plate_20260826_123451_011130_conf0.772.jpg	NRW-842	manual	approved
ocr_dataset/unlabeled/plate_20260826_123502_860050_conf0.695.jpg	RZW-056	0.9170	approved
ocr_dataset/unlabeled/plate_20260826_123512_923353_conf0.729.jpg	SPU-771	0.5375	approved
ocr_dataset/unlabeled/plate_20260826_123522_983550_conf0.733.jpg	SVE-754	0.1286	review
ocr_dataset/unlabeled/plate_20260826_123534_711598_conf0.686.jpg	RLR-412	0.1297	review
ocr_dataset/unlabeled/plate_20260826_123551_991356_conf0.614.jpg	LBZ-475	0.0000	review
ocr_dataset/unlabeled/plate_20260826_123605_010936_conf0.314.jpg	AIEM-991	0.0000	review
ocr_dataset/unlabeled/plate_20260826_123615_026235_conf0.736.jpg	RVT-420	manual	approved
ocr_dataset/unlabeled/plate_20260826_123625_050430_conf0.740.jpg	LEZ-378	manual	approved
ocr_dataset/unlabeled/plate_20260826_123636_857003_conf0.712.jpg	LEZ-378	manual	approved
ocr_dataset/unlabeled/plate_20260826_123646_911446_conf0.666.jpg	Z-475	0.0000	review
ocr_dataset/unlabeled/plate_20260826_123658_889282_conf0.725.jpg	TGV-210	manual	approved
ocr_dataset/unlabeled/plate_20260826_123712_646988_conf0.756.jpg	FEF-683	manual	approved
ocr_dataset/unlabeled/plate_20260826_123722_663728_conf0.716.jpg	LLU-437	manual	approved
ocr_dataset/unlabeled/plate_20260826_123746_506440_conf0.539.jpg	AEEG-168	0.0000	review
ocr_dataset/unlabeled/plate_20260826_123756_549541_conf0.709.jpg	LLU-437	manual	approved
ocr_dataset/unlabeled/plate_20260826_123819_620056_conf0.674.jpg	LLU-437	manual	approved
ocr_dataset/unlabeled/plate_20260826_123829_626675_conf0.543.jpg	XHR-649	0.0000	review
ocr_dataset/unlabeled/plate_20260826_123841_223748_conf0.421.jpg	AOPA-047	0.0000	review
ocr_dataset/unlabeled/plate_20260826_123917_699592_conf0.441.jpg	LCA-981	0.0570	review
ocr_dataset/unlabeled/plate_20260826_124003_761449_conf0.700.jpg	PEV-941	0.2581	review
ocr_dataset/unlabeled/plate_20260826_124013_818047_conf0.661.jpg	PPT-686	0.0664	review
ocr_dataset/unlabeled/plate_20260826_124043_886032_conf0.616.jpg	HRB-037	0.0000	review
ocr_dataset/unlabeled/plate_20260826_124106_317154_conf0.784.jpg	MNC-634	manual	approved
ocr_dataset/unlabeled/plate_20260826_124126_559032_conf0.772.jpg	KRP-919	manual	approved
ocr_dataset/unlabeled/plate_20260826_124137_068041_conf0.729.jpg	RIR-355	0.1794	review
ocr_dataset/unlabeled/plate_20260826_124150_162950_conf0.549.jpg	AEML-551	0.0000	review
ocr_dataset/unlabeled/plate_20260826_124213_092013_conf0.730.jpg	MER-240	manual	approved
ocr_dataset/unlabeled/plate_20260826_124224_917355_conf0.781.jpg	MER-240	manual	approved
ocr_dataset/unlabeled/plate_20260826_124234_928854_conf0.770.jpg	MER-240	manual	approved
ocr_dataset/unlabeled/plate_20260826_124244_964186_conf0.783.jpg	MER-240	manual	approved
ocr_dataset/unlabeled/plate_20260826_124256_717054_conf0.477.jpg	WD	0.3477	review
ocr_dataset/unlabeled/plate_20260826_124309_171277_conf0.549.jpg	I561	0.0491	review
ocr_dataset/unlabeled/plate_20260826_124319_624007_conf0.595.jpg	FRE22	0.1383	review
ocr_dataset/unlabeled/plate_20260826_124337_524523_conf0.649.jpg	PJP-221	manual	approved
ocr_dataset/unlabeled/plate_20260826_124403_826373_conf0.673.jpg	MR	0.1143	review
ocr_dataset/unlabeled/plate_20260826_124426_197741_conf0.685.jpg	3	0.2566	review
ocr_dataset/unlabeled/plate_20260826_124438_002960_conf0.704.jpg	69	0.1327	review
ocr_dataset/unlabeled/plate_20260826_124511_892134_conf0.783.jpg	M	0.8732	review
ocr_dataset/unlabeled/plate_20260826_124521_917121_conf0.700.jpg	I-	0.1092	review
ocr_dataset/unlabeled/plate_20260826_124531_925372_conf0.695.jpg		0.0000	review
