image_path	suggested_text	confidence	status
ocr_dataset/unlabeled/plate_20260826_115943_463898_conf0.653.jpg	SYL-040	manual	approved
ocr_dataset/unlabeled/plate_20260826_115959_765003_conf0.662.jpg	LEZ-356	manual	approved
ocr_dataset/unlabeled/plate_20260826_121103_818580_conf0.701.jpg	SJF-677	manual	approved
ocr_dataset/unlabeled/plate_20260826_121115_435351_conf0.780.jpg	SIV-256	manual	approved
ocr_dataset/unlabeled/plate_20260826_121133_712204_conf0.741.jpg	SVE-756	manual	approved
ocr_dataset/unlabeled/plate_20260826_121148_507076_conf0.726.jpg	AILB-612	manual	approved
ocr_dataset/unlabeled/plate_20260826_121158_677075_conf0.403.jpg	LPM-304	manual	approved
ocr_dataset/unlabeled/plate_20260826_121224_893241_conf0.457.jpg	GNV-998	manual	approved
ocr_dataset/unlabeled/plate_20260826_121234_928091_conf0.783.jpg	JLR-808	manual	approved
ocr_dataset/unlabeled/plate_20260826_121244_931416_conf0.673.jpg	GNV-998	manual	approved
ocr_dataset/unlabeled/plate_20260826_121257_975827_conf0.757.jpg	RWK-167	manual	approved
ocr_dataset/unlabeled/plate_20260826_121308_176633_conf0.730.jpg	AEEC-160	manual	approved
ocr_dataset/unlabeled/plate_20260826_121322_584577_conf0.767.jpg	AOFI-228	manual	approved
ocr_dataset/unlabeled/plate_20260826_121333_892539_conf0.687.jpg	NDP-763	manual	approved
ocr_dataset/unlabeled/plate_20260826_121343_910754_conf0.786.jpg	GUS-464	manual	approved
ocr_dataset/unlabeled/plate_20260826_121410_137395_conf0.778.jpg	AORJ-790	manual	approved
ocr_dataset/unlabeled/plate_20260826_121420_295927_conf0.730.jpg	NDP-763	manual	approved
ocr_dataset/unlabeled/plate_20260826_121433_665529_conf0.757.jpg	JXK-981	manual	approved
ocr_dataset/unlabeled/plate_20260826_121519_508664_conf0.730.jpg	HXW-974	manual	approved
ocr_dataset/unlabeled/plate_20260826_121529_531898_conf0.775.jpg	GXM-974	manual	approved
ocr_dataset/unlabeled/plate_20260826_121541_253080_conf0.728.jpg	GXM-974	manual	approved
ocr_dataset/unlabeled/plate_20260826_121551_710464_conf0.572.jpg	GXM-974	manual	approved
ocr_dataset/unlabeled/plate_20260826_121602_170129_conf0.743.jpg	PHH-608	manual	approved
ocr_dataset/unlabeled/plate_20260826_121651_858792_conf0.792.jpg	ROT-768	manual	approved
ocr_dataset/unlabeled/plate_20260826_121701_871814_conf0.770.jpg	ROT-768	manual	approved
ocr_dataset/unlabeled/plate_20260826_121711_890318_conf0.768.jpg	ROT-768	manual	approved
ocr_dataset/unlabeled/plate_20260826_121742_561960_conf0.626.jpg	SFR-896	manual	approved
ocr_dataset/unlabeled/plate_20260826_121805_696598_conf0.796.jpg	SHB-930	manual	approved
ocr_dataset/unlabeled/plate_20260826_121926_790848_conf0.693.jpg	PUW-379	manual	approved
